"Type","Unique.sample.ID.or.Species.Name","Image.file","which.object.number.speciman.number..MCZ....","which.slide.in.the.powerpoint","Age","Z1","A1","A2","B1","B2","B3","C1","C2","C3","D1","E1","E2","E3","E4","F1","G1","G2","G3","H1","I1","I2","I3","J1","J2","K1","K2","L1","L2","L3","L4","M1","M2","M3","M4","N1","N2","N3","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","Notes","X","Z1.1","A1.1","A2.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","E1.1","E2.1","E3.1","E4.1","F1.1","G1.1","G2.1","G3.1","H1.1","I1.1","I2.1","I3.1","J1.1","J2.1","K1.1","K2.1","L1.1","L2.1","L3.1","L4.1","M1.1","M2.1","M3.1","M4.1","N1.1","N2.1","N3.1","O1.1","O2.1","O3.1","O4.1","O5.1","O6.1","O7.1","O8.1","O9.1","O10.1","MDS1","MDS2","MDS3"
"Five Ridged Criss Cross","Squatina squatina","Reif","Pg. 126 M1",231,0,"Z1.2.Denticle","A1.7 Irregular/ other","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.3 Pointed margin texture","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.3 Pointed margin texture","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.6 five","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.1 central shape but no plane of symmetry","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,7,0,4,3,1,4,3,1,1,1,0,0,0,3,6,2,1,5,1,0,0,1,1,1,1,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.550372340309802,-0.351900967555386,-0.0508564165134978
"Five Thin Ridged Branching Fan","Alopias superciliosus","Reif","Pg. 141 H1/2 Bigger surround",263,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.3 Pointed","C2.2 Scalloped margin texture","C3.1 Smooth","D1.1 None","E1.4 three","E2.2 Cusps defined by ridges","E3.4 Irregular","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.7 six-ten","G2.5 four","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,3,2,1,1,3,2,1,1,4,2,4,1,2,7,5,1,5,4,1,1,1,1,1,0,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.355629059068222,-0.280992950381356,-0.126472575784372
"Five Thin Ridged Fan","DSDP-596-P049-L55-2H-7W-5-7cm-g106_Hwell_N1of1","DSDP-596-P049-L55-2H-7W-5-7cm-g106_Hwell_N1of1_obj00002","2",108,38.34,"Z1.2.Denticle","A1.8 “Fan-like”","A2.0 Not a Spade/too broken to code","B1.2 Rounded","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.3 Pointed margin texture","C3.1 Smooth","D1.1 None","E1.6 five","E2.2 Cusps defined by ridges","E3.2 Central cusp is distinct","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.6 five","G2.6 five","G3.1 no ridge outgrowths","H1.1 Parallel","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.1 Straight","J2.3 Triangular thinning from anterior","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,8,0,2,2,1,3,3,1,1,6,2,2,1,2,6,6,1,1,4,1,3,1,3,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.558602166493237,-0.31671306612186,0.0701359932164692
"Flying squirrel","Pseudocarcharias kamoharai","Castro","Pg. 222",57,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.3 Pointed (vertex)","B2.3 Pointed margin texture","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.1 Parallel","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.1 Not mounded",NA,NA,2,4,3,3,3,1,3,4,1,2,1,0,0,0,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-0.437349574431974,0.222449735777547,-0.0519141810157122
"Forked Oval","Squatina occulta","Vaz, D. F., & De Carvalho, M. R. (2013)","D",567,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.2 Rounded","C2.1 Smooth","C3.1 Smooth","D1.2 one","E1.5 four","E2.2 Cusps defined by ridges","E3.3 cusps opposite each other are similar, cusps next to each other are distinct","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.5 four","G3.1 no ridge outgrowths","H1.4 Diverges then converges","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.2 Concave Curved","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.2 Mounded",NA,NA,2,4,3,2,1,1,2,1,1,2,5,2,3,1,2,5,5,1,4,1,0,0,2,1,1,0,3,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,-0.483966851108296,0.0720217809779194,-0.234439976551021
"Forked Spade","Squatina occulta","Vaz, D. F., & De Carvalho, M. R. (2013)","C",566,0,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.2 Rounded","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.5 four","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.2 Mounded",NA,NA,2,4,3,2,1,1,2,4,1,2,1,0,0,0,2,5,5,1,2,1,0,0,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,-0.291647810007963,0.0150165950811535,-0.0252852563951062
"Four Ridged Linear Spade","ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5","ODP-886-060-7H-3W-130-133cm-g106_obj00031_edf","31",7,22.3102,"Z1.2.Denticle","A1.4 Spade","A2.2 Squared Spade","B1.3 Pointed (vertex)","B2.4 anterior is a vertex","B3.1 Smooth","C1.1 Straight","C2.2 Scalloped margin texture","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.5 four","G3.1 no ridge outgrowths","H1.1 Parallel","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,2,3,4,1,1,2,1,1,1,0,0,0,2,5,5,1,1,1,0,0,1,1,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.286749327930488,-0.221371625920943,-0.0104827882412429
"Four Thin Ridged Petal","Carcharhinus melanopterus","Reif","Pg. 206 M1",447,0,"Z1.2.Denticle","A1.4 Spade","A2.1 Rounded Spade","B1.2 Rounded","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.1 None","E1.2 one","E2.1 Ridges not associated with cusps","E3.0 No cusps/one cusp or too broken to code","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.5 four","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,1,2,2,1,3,4,1,1,2,1,0,1,2,5,5,1,2,1,0,0,1,1,1,0,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.388069040752693,-0.310621034793586,0.00349686762252468
"Funky Central Ridged Diamond","DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1","DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00017_edf.jpeg","17",NA,39.42421,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.4 anterior is a vertex","B3.2 Distinct serrated","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.2 Distinct serrated","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.7 six-ten","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.4 Meandering","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle","L3.3 Variable ridge height","L4.4 Ridge profiles or troughs are variable or described by another shape","M1.3 two","M2.3 Dimples (depressions surrounded by ridges)","M3.2 Close to edge depression","M4.6 Irregular","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.1 Not mounded",NA,NA,2,5,0,4,4,2,4,4,2,1,1,0,0,0,3,7,2,1,5,4,1,3,4,1,1,0,5,2,3,4,3,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0.806161458260741,-0.460495392272266,-0.23010956174487
"Funky Central Ridged Spade","Galeocerdo cuvier","Reif","Pg. 227 H2",511,0,"Z1.2.Denticle","A1.4 Spade","A2.1 Rounded Spade","B1.2 Rounded","B2.1 Smooth","B3.1 Smooth","C1.3 Pointed","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.5 four","G2.4 three","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,1,2,1,1,3,4,1,2,1,0,0,0,2,5,4,1,2,4,1,3,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.351676708769528,0.0192288537201596,-0.00610859720915253
